Team,Conference,ConferenceAbbrev,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,urlSchool
Stony Brook,Colonial Athletic,CAA,Seawolves,STON,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png
Towson,Colonial Athletic,CAA,Tigers,TOWS,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png
Villanova,Colonial Athletic,CAA,Wildcats,NOVA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png
William & Mary,Colonial Athletic,CAA,Tribe,W&M,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png
Hampton,Independent (FCS),Ind (FCS),Pirates,HAMP,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png
North Alabama,Independent (FCS),Ind (FCS),Lions,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2453.png
North Dakota,Independent (FCS),Ind (FCS),Fighting Hawks,UND,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/155.png
Brown,Ivy League,Ivy,Bears,BRWN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png
Columbia,Ivy League,Ivy,Lions,CLMB,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/171.png
Cornell,Ivy League,Ivy,Big Red,COR,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/172.png
Dartmouth,Ivy League,Ivy,Big Green,DART,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/159.png
Harvard,Ivy League,Ivy,Crimson,HARV,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/108.png
Penn,Ivy League,Ivy,Quakers,PENN,Pennsylvania,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/219.png
Princeton,Ivy League,Ivy,Tigers,PRIN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/163.png
Yale,Ivy League,Ivy,Bulldogs,YALE,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/43.png
Bethune-Cookman,Mid-Eastern Atheltic,MEAC,Wildcats,COOK,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png
Delaware State,Mid-Eastern Atheltic,MEAC,Hornets,DSU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2169.png
Florida A&M,Mid-Eastern Atheltic,MEAC,Rattlers,FAMU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/50.png
Howard,Mid-Eastern Atheltic,MEAC,Bison,HOW,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png
Morgan State,Mid-Eastern Atheltic,MEAC,Bears,MORG,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png
Norfolk State,Mid-Eastern Atheltic,MEAC,Spartans,NORF,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2450.png
North Carolina A&T,Mid-Eastern Atheltic,MEAC,Aggies,NCAT,N Carolina A&T,NC A&T,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png
North Carolina Central,Mid-Eastern Atheltic,MEAC,Eagles,NCCU,NC Central,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png
Savannah State,Mid-Eastern Atheltic,MEAC,Tigers,SAV,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2542.png
South Carolina State,Mid-Eastern Atheltic,MEAC,Bulldogs,SCST,S Carolina St,S. Carolina St.,S Carolina St.,South Carolina St.,South Carolina St,,https://a.espncdn.com/i/teamlogos/ncaa/500/2569.png
Illinois State,Missouri Valley,MVC,Redbirds,ILST,Illinois St,Illinois St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png
Indiana State,Missouri Valley,MVC,Sycamores,INST,Indiana St,Indiana St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png
Missouri State,Missouri Valley,MVC,Bears,MOST,Missouri St,Missouri St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png
North Dakota State,Missouri Valley,MVC,Bison,NDSU,North Dakota St,North Dakota St.,N Dakota St,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png
Northern Iowa,Missouri Valley,MVC,Panthers,UNI,N Iowa,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png
South Dakota,Missouri Valley,MVC,Coyotes,SDAK,S Dakota,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png
South Dakota State,Missouri Valley,MVC,Jackrabbits,SDSU,SDKST,South Dakota St,South Dakota State,S Dakota St,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png
Southern Illinois,Missouri Valley,MVC,Salukis,SIU,S Illinois,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/79.png
Western Illinois,Missouri Valley,MVC,Leathernecks,WIU,W Illinois,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2710.png
Youngstown State,Missouri Valley,MVC,Penguins,YSU,Youngstown St,Youngstown St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png
Bryant,Northeast,NEC,Bulldogs,BRY,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2803.png
Central Connecticut,Northeast,NEC,Blue Devils,CCSU,Cent Conn St,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2115.png
Duquesne,Northeast,NEC,Dukes,DUQ,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png
